location,weekday,hour,event_count
Sitio San Miguel,6,3,8
Sitio San Miguel,6,4,8
Sitio San Miguel,6,5,9
Sitio San Miguel,6,6,19
Sitio San Miguel,6,7,14
Sitio San Miguel,6,8,22
Sitio San Miguel,6,9,16
Sitio San Miguel,6,10,10
Sitio San Miguel,6,11,18
Sitio San Miguel,6,12,20
Sitio San Miguel,6,13,17
Sitio San Miguel,6,14,20
Sitio San Miguel,6,15,21
Sitio San Miguel,6,16,24
Sitio San Miguel,6,17,27
Sitio San Miguel,6,18,20
Sitio San Miguel,6,19,30
Sitio San Miguel,6,20,33
Sitio San Miguel,6,21,32
Sitio San Miguel,6,22,34
Sitio San Miguel,6,23,28
Sitio Tahna,0,0,12
Sitio Tahna,0,1,8
Sitio Tahna,0,2,8
Sitio Tahna,0,3,6
Sitio Tahna,0,4,6
Sitio Tahna,0,5,10
Sitio Tahna,0,6,15
Sitio Tahna,0,7,13
Sitio Tahna,0,8,13
Sitio Tahna,0,9,8
Sitio Tahna,0,10,11
Sitio Tahna,0,11,12
Sitio Tahna,0,12,18
Sitio Tahna,0,13,11
Sitio Tahna,0,14,14
Sitio Tahna,0,15,8
Sitio Tahna,0,16,22
Sitio Tahna,0,17,20
Sitio Tahna,0,18,21
Sitio Tahna,0,19,17
Sitio Tahna,0,20,24
Sitio Tahna,0,21,18
Sitio Tahna,0,22,20
Sitio Tahna,0,23,6
Sitio Tahna,1,0,12
Sitio Tahna,1,1,8
Sitio Tahna,1,2,8
Sitio Tahna,1,3,6
Sitio Tahna,1,4,7
Sitio Tahna,1,5,8
Sitio Tahna,1,6,10
Sitio Tahna,1,7,12
Sitio Tahna,1,8,8
Sitio Tahna,1,9,10
Sitio Tahna,1,10,7
Sitio Tahna,1,11,6
Sitio Tahna,1,12,10
Sitio Tahna,1,13,14
Sitio Tahna,1,14,8
Sitio Tahna,1,15,10
Sitio Tahna,1,16,9
Sitio Tahna,1,17,15
Sitio Tahna,1,18,15
Sitio Tahna,1,19,12
Sitio Tahna,1,20,9
Sitio Tahna,1,21,10
Sitio Tahna,1,22,16
Sitio Tahna,1,23,2
Sitio Tahna,2,0,13
Sitio Tahna,2,1,8
Sitio Tahna,2,2,8
Sitio Tahna,2,3,6
Sitio Tahna,2,4,6
Sitio Tahna,2,5,7
Sitio Tahna,2,6,13
Sitio Tahna,2,7,13
Sitio Tahna,2,8,9
Sitio Tahna,2,9,10
Sitio Tahna,2,10,14
Sitio Tahna,2,11,10
Sitio Tahna,2,12,7
Sitio Tahna,2,13,12
Sitio Tahna,2,14,13
Sitio Tahna,2,15,12
Sitio Tahna,2,16,10
Sitio Tahna,2,17,18
Sitio Tahna,2,18,21
Sitio Tahna,2,19,15
Sitio Tahna,2,20,12
Sitio Tahna,2,21,22
Sitio Tahna,2,22,18
Sitio Tahna,2,23,6
Sitio Tahna,3,0,18
Sitio Tahna,3,1,10
Sitio Tahna,3,2,13
Sitio Tahna,3,3,10
Sitio Tahna,3,4,9
Sitio Tahna,3,5,11
Sitio Tahna,3,6,15
Sitio Tahna,3,7,19
Sitio Tahna,3,8,12
Sitio Tahna,3,9,16
Sitio Tahna,3,10,13
Sitio Tahna,3,11,12
Sitio Tahna,3,12,16
Sitio Tahna,3,13,15
Sitio Tahna,3,14,16
Sitio Tahna,3,15,19
Sitio Tahna,3,16,27
Sitio Tahna,3,17,18
Sitio Tahna,3,18,16
Sitio Tahna,3,19,22
Sitio Tahna,3,20,22
Sitio Tahna,3,21,23
Sitio Tahna,3,22,10
Sitio Tahna,3,23,3
Sitio Tahna,4,0,14
Sitio Tahna,4,1,8
Sitio Tahna,4,2,6
Sitio Tahna,4,3,6
Sitio Tahna,4,4,8
Sitio Tahna,4,5,11
Sitio Tahna,4,6,10
Sitio Tahna,4,7,18
Sitio Tahna,4,8,13
Sitio Tahna,4,9,9
Sitio Tahna,4,10,8
Sitio Tahna,4,11,12
Sitio Tahna,4,12,11
Sitio Tahna,4,13,13
Sitio Tahna,4,14,14
Sitio Tahna,4,15,13
Sitio Tahna,4,16,21
Sitio Tahna,4,17,20
Sitio Tahna,4,18,20
Sitio Tahna,4,19,21
Sitio Tahna,4,20,22
Sitio Tahna,4,21,18
Sitio Tahna,4,22,19
Sitio Tahna,5,0,14
Sitio Tahna,5,1,8
Sitio Tahna,5,2,9
Sitio Tahna,5,3,6
Sitio Tahna,5,4,7
Sitio Tahna,5,5,7
Sitio Tahna,5,6,9
Sitio Tahna,5,7,15
Sitio Tahna,5,8,11
Sitio Tahna,5,9,11
Sitio Tahna,5,10,8
Sitio Tahna,5,11,9
Sitio Tahna,5,12,13
Sitio Tahna,5,13,11
Sitio Tahna,5,14,13
Sitio Tahna,5,15,14
Sitio Tahna,5,16,21
Sitio Tahna,5,17,18
Sitio Tahna,5,18,18
Sitio Tahna,5,19,18
Sitio Tahna,5,20,16
Sitio Tahna,5,21,17
Sitio Tahna,5,22,10
Sitio Tahna,5,23,2
Sitio Tahna,6,0,12
Sitio Tahna,6,1,7
Sitio Tahna,6,2,7
Sitio Tahna,6,3,8
Sitio Tahna,6,4,7
Sitio Tahna,6,5,10
Sitio Tahna,6,6,13
Sitio Tahna,6,7,13
Sitio Tahna,6,8,13
Sitio Tahna,6,9,8
Sitio Tahna,6,10,9
Sitio Tahna,6,11,9
Sitio Tahna,6,12,14
Sitio Tahna,6,13,14
Sitio Tahna,6,14,10
Sitio Tahna,6,15,13
Sitio Tahna,6,16,20
Sitio Tahna,6,17,15
Sitio Tahna,6,18,15
Sitio Tahna,6,19,16
Sitio Tahna,6,20,23
Sitio Tahna,6,21,20
Sitio Tahna,6,22,21
Sitio Tahna,6,23,4
